cliente_id,channel_id,region
-1597516952,1625004744,GBA MINORISTAS
-1805984324,541481139,GBA MINORISTAS
672436635,1625004744,GBA MINORISTAS
-664978634,541481139,COSTA ATLANTICA
-664267918,1625004744,GBA MINORISTAS
-970368223,1625004744,GBA MINORISTAS
1645103922,-1756013582,GBA MINORISTAS
1946261861,-1756013582,COSTA ATLANTICA
-1253530761,1625004744,COSTA ATLANTICA
-249987065,1759010777,COSTA ATLANTICA
-1145064193,870267989,GBA MINORISTAS
1199695744,1625004744,COSTA ATLANTICA
-2137452832,-1756013582,COSTA ATLANTICA
1677458008,1625004744,COSTA ATLANTICA
-2127235486,1625004744,GBA MINORISTAS
-1686940331,870267989,GBA MINORISTAS
2048799387,1625004744,GBA MINORISTAS
247174639,1625004744,GBA MINORISTAS
-1595217657,1625004744,GBA MINORISTAS
1184633611,-1756013582,GBA MINORISTAS
1177202890,1625004744,GBA MINORISTAS
87453677,1625004744,GBA MINORISTAS
-1312872122,1759010777,COSTA ATLANTICA
784859281,1625004744,GBA MINORISTAS
-1930047297,1759010777,GBA MINORISTAS
1870471669,1625004744,GBA MINORISTAS
1424581768,1625004744,GBA MINORISTAS
-2073825463,1625004744,GBA MINORISTAS
-1487493754,870267989,GBA MINORISTAS
1224771781,870267989,GBA MINORISTAS
966563234,1625004744,GBA MINORISTAS
1918534851,1759010777,COSTA ATLANTICA
1233465035,541481139,GBA MINORISTAS
-833245783,1625004744,GBA MINORISTAS
-1985299647,1625004744,COSTA ATLANTICA
301614585,870267989,COSTA ATLANTICA
146472338,1625004744,GBA MINORISTAS
-1318248059,1625004744,COSTA ATLANTICA
1444223140,1625004744,COSTA ATLANTICA
-1624938244,870267989,GBA MINORISTAS
-1821016327,-1756013582,COSTA ATLANTICA
2008562324,1625004744,GBA MINORISTAS
-1640669001,1625004744,GBA MINORISTAS
-66729720,870267989,GBA MINORISTAS
79500993,870267989,GBA MINORISTAS
-714483626,1625004744,GBA MINORISTAS
-7270125,-635186254,COSTA ATLANTICA
1293104475,870267989,GBA MINORISTAS
-1373134369,1759010777,GBA MINORISTAS
51203135,1759010777,GBA MINORISTAS
1530096282,-1756013582,COSTA ATLANTICA
-654970860,1625004744,COSTA ATLANTICA
-612073532,1625004744,COSTA ATLANTICA
1280318970,870267989,COSTA ATLANTICA
1656759707,1625004744,COSTA ATLANTICA
-126541806,1625004744,COSTA ATLANTICA
753946187,1759010777,COSTA ATLANTICA
-1171892463,1625004744,GBA MINORISTAS
-987865178,1625004744,GBA MINORISTAS
-1831104288,870267989,COSTA ATLANTICA
-1482906633,1625004744,COSTA ATLANTICA
