rubro,brand,mes,campaña_exitosa,lifts_promedio
TRADICIONAL,budweiser,05,1,0.6891409548367441
TRADICIONAL,budweiser,06,1,0.6940018705424108
TRADICIONAL,corona,01,0,0.36667950205166
TRADICIONAL,corona,02,0,0.6640190041406292
TRADICIONAL,otras,01,0,-0.24067316614994627
TRADICIONAL,otras,02,0,-0.04444926469230304
TRADICIONAL,otras,03,0,0.07347926446915591
TRADICIONAL,otras,04,0,-0.16504797958286327
TRADICIONAL,otras,05,0,0.025636508279436754
TRADICIONAL,otras,06,0,-1.2083815409396805
TRADICIONAL,patagonia,01,0,1.0129809897737432
TRADICIONAL,patagonia,02,0,0.8162985384692516
TRADICIONAL,patagonia,03,0,0.09017136399700189
TRADICIONAL,patagonia,04,0,0.1265304579921179
TRADICIONAL,patagonia,05,0,0.347849422467876
TRADICIONAL,patagonia,06,0,-0.37870253048357877
TRADICIONAL,quilmes,01,1,0.5534206185214108
TRADICIONAL,quilmes,02,1,0.9936783471650326
TRADICIONAL,quilmes,03,1,0.7260433306544383
TRADICIONAL,quilmes,04,1,0.9852550988768485
TRADICIONAL,quilmes,05,1,0.9403921739884563
TRADICIONAL,quilmes,06,1,0.553041854404778
TRADICIONAL,stella_artois,01,1,0.5069513114563635
TRADICIONAL,stella_artois,02,1,0.6380545275301575
TRADICIONAL,stella_artois,03,1,0.9150531429439384
TRADICIONAL,stella_artois,04,1,0.8702657962237524
TRADICIONAL,stella_artois,05,0,0.052732000169256034
TRADICIONAL,stella_artois,06,1,1.0830015230850383
